,Name,Product Page,Image,Price,Rating
0,"Apple iPhone 11, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-11-64GB-Black/dp/B07ZPKN6YR/ref=zg_bs_7072561011_sccl_1/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/612kg3rGyYL._AC_UL600_SR600,400_.jpg",$306.00,4.3
1,Google Pixel 6a - 5G Android Phone - Unlocked Smartphone with 12 Megapixel Camera and 24-Hour Battery - Charcoal,https://www.amazon.com/Google-Pixel-6a-Smartphone-Megapixel/dp/B0B3PSRHHN/ref=zg_bs_7072561011_sccl_2/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61ePWSuIfwL._AC_UL600_SR600,400_.jpg",$333.99,4.3
2,"Samsung Galaxy S10e, 128GB, Prism Black - Unlocked (Renewed)",https://www.amazon.com/Samsung-Galaxy-128GB-Prism-Black/dp/B082T4F34B/ref=zg_bs_7072561011_sccl_3/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71bK3oKRCOL._AC_UL600_SR600,400_.jpg",$132.00,4.3
3,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",https://www.amazon.com/Samsung-Galaxy-S21-5G-Version/dp/B08VLMQ3KS/ref=zg_bs_7072561011_sccl_4/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61jYjeuNUnL._AC_UL600_SR600,400_.jpg",$254.00,4.0
4,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=zg_bs_7072561011_sccl_5/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/31ILQoX1tSL._AC_UL600_SR600,400_.jpg",$224.94,4.5
5,"TracFone TCL Flip 2, 8GB, Black - Prepaid Flip Phone (Locked)",https://www.amazon.com/TracFone-Flip-Prepaid-Phone-Locked/dp/B09X7F2GCG/ref=zg_bs_7072561011_sccl_6/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71S0voBvL8L._AC_UL600_SR600,400_.jpg",$19.99,4.1
6,"Apple iPhone SE 2nd Generation, US Version, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-SE-64GB-Black/dp/B088NQXD8T/ref=zg_bs_7072561011_sccl_7/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/813ovO0PGGL._AC_UL600_SR600,400_.jpg",$149.99,4.4
7,"Apple iPhone 8, US Version, 64GB, Space Gray - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-GSM-Unlocked-64GB/dp/B0775MV9K2/ref=zg_bs_7072561011_sccl_8/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71aOr1CuM1L._AC_UL600_SR600,400_.jpg",$140.00,4.3
8,"SAMSUNG Galaxy A53 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB, 6.5” FHD Super AMOLED Screen, Long Battery Life, US Version, Black",https://www.amazon.com/SAMSUNG-Factory-Unlocked-Android-Smartphone/dp/B09R6FJWWS/ref=zg_bs_7072561011_sccl_9/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71HN4P-pd5L._AC_UL600_SR600,400_.jpg",$349.00,4.3
9,"Samsung Galaxy S20 5G, 128GB, Cosmic Gray - Unlocked (Renewed)",https://www.amazon.com/Samsung-Galaxy-S20-5G-Cosmic/dp/B08B8Y5R4Y/ref=zg_bs_7072561011_sccl_10/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61XsDK3-1hL._AC_UL600_SR600,400_.jpg",$207.83,4.1
10,Moto G Power | 2022 | 3-Day Battery | Unlocked | Made for US by Motorola | 4/128GB | 50 MP Camera | Ice Blue,https://www.amazon.com/Power-Battery-Unlocked-Motorola-Camera/dp/B09SM6GR4B/ref=zg_bs_7072561011_sccl_11/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61I2yy1G57L._AC_UL600_SR600,400_.jpg",$139.99,4.2
11,"Samsung Galaxy S20 FE 5G, 128GB, Cloud Navy - Unlocked (Renewed)",https://www.amazon.com/Samsung-Galaxy-S20-FE-128GB/dp/B08L34JQ9C/ref=zg_bs_7072561011_sccl_12/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/51IRxly2xcL._AC_UL600_SR600,400_.jpg",$214.00,4.2
12,Moto G Stylus | 2022 | 2-Day battery | Unlocked| Made for US by Motorola | 6/128GB | 50MP Camera | Twilight Blue,https://www.amazon.com/Stylus-battery-Unlocked-Motorola-Twilight/dp/B09PFC2DVD/ref=zg_bs_7072561011_sccl_13/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/612yrAXpo-L._AC_UL600_SR600,400_.jpg",$169.99,4.3
13,Moto G 5G | 2022 | 2-Day Battery | Unlocked | Made for US by Motorola | 6/256GB | 50 MP Camera | Moonlight Gray,https://www.amazon.com/Battery-Unlocked-Motorola-Camera-Moonlight/dp/B09TZ5ZBJT/ref=zg_bs_7072561011_sccl_14/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61VnjlIm+zL._AC_UL600_SR600,400_.jpg",$199.99,4.2
14,"Apple iPhone 8 Plus, 64GB, Space Gray - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-Plus-64GB-Space/dp/B07YYM3HFW/ref=zg_bs_7072561011_sccl_15/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61nsJ0PkpHL._AC_UL600_SR600,400_.jpg",$155.48,4.4
15,"SAMSUNG Galaxy S23 Ultra Cell Phone, Factory Unlocked Android Smartphone, 256GB Storage, 200MP Camera, Night Mode, Long Battery Life, S Pen, US Version, 2023, Phantom Black",https://www.amazon.com/SAMSUNG-Factory-Unlocked-Android-Smartphone/dp/B0BLP45GY8/ref=zg_bs_7072561011_sccl_16/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71Sa3dqTqzL._AC_UL600_SR600,400_.jpg",$999.99,4.6
16,"SAMSUNG Galaxy A03 Core (SM-A032/DS) Dual SIM 32GB/ 2GB RAM, GSM Unlocked International Version - No Warranty - Black",https://www.amazon.com/Samsung-Galaxy-A03-Core-International/dp/B09Q98BRRN/ref=zg_bs_7072561011_sccl_17/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61EYfTYzWML._AC_UL600_SR600,400_.jpg",$88.95,3.9
17,Motorola Moto G Stylus 5G | 2021 | 2-Day Battery | Unlocked | Made for US 4/128GB | 48MP Camera | Cosmic Emerald,https://www.amazon.com/Motorola-Stylus-Battery-Unlocked-Emerald/dp/B0BFYRV4CD/ref=zg_bs_7072561011_sccl_18/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/41wKBxAos4L._AC_UL600_SR600,400_.jpg",$179.99,4.3
18,"Apple iPhone 12 Mini, 64GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-12-Mini-Black/dp/B08PPDJWC8/ref=zg_bs_7072561011_sccl_19/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71WoWLO6+gL._AC_UL600_SR600,400_.jpg",$315.67,4.3
19,"Apple iPhone 11, US Version, 128GB, Black - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-11-128GB-Black/dp/B07ZPKR714/ref=zg_bs_7072561011_sccl_20/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/41Bc1by7f6L._AC_UL600_SR600,400_.jpg",$351.99,4.3
20,Google Pixel 7-5G Android Phone - Unlocked Smartphone with Wide Angle Lens and 24-Hour Battery - 128GB - Obsidian,https://www.amazon.com/Google-Pixel-7-5G-Android-Phone/dp/B0BCQXXRJJ/ref=zg_bs_7072561011_sccl_21/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71loUpMg0pL._AC_UL600_SR600,400_.jpg",$529.99,4.3
21,Moto G Pure | 2021 | 2-Day battery | Unlocked | Made for US by Motorola | 3/32GB | 13MP Camera | Deep Indigo,https://www.amazon.com/battery-Unlocked-Motorola-Camera-Indigo/dp/B09BTB5MKT/ref=zg_bs_7072561011_sccl_22/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61voYsPhFTL._AC_UL600_SR600,400_.jpg",$109.99,4.2
22,"Apple iPhone 11, 64GB, Purple - Fully Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-11-64GB-Unlocked/dp/B07ZPKF8RG/ref=zg_bs_7072561011_sccl_23/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/51gyNup3WJL._AC_UL600_SR600,400_.jpg",$315.67,4.3
23,"Apple iPhone 8, 64GB, Gold - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-64GB/dp/B0775717ZP/ref=zg_bs_7072561011_sccl_24/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61b6ODFBQqL._AC_UL600_SR600,400_.jpg",$200.00,4.3
24,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black (Renewed),https://www.amazon.com/Google-Pixel-Unlocked-Smartphone-Ultrawide/dp/B09NP6697R/ref=zg_bs_7072561011_sccl_25/132-8830861-4557211?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61ruKkvVIxL._AC_UL600_SR600,400_.jpg",$244.99,4.2
